District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,477,490,465,499,473,422,327,397,232,271,293,215,219,210,196,228,304,272,249
2,1527,1211,1106,1109,1116,1108,806,724,682,860,820,641,524,482,483,470,509,479,416
3,1357,1118,1047,1125,1146,1272,1048,937,725,878,887,628,499,388,402,422,459,406,443
4,1374,1373,1406,1516,1227,1418,1219,1075,868,995,1123,806,714,562,495,596,598,584,511
5,1020,836,751,864,1003,1078,907,901,732,832,989,677,510,359,375,434,419,367,394
6,1569,1591,1502,1537,1625,1575,1228,1412,930,1187,1258,843,693,569,544,582,612,503,550
7,1401,1302,1200,1239,1342,1313,1007,1170,934,999,844,706,627,452,529,516,439,442,401
8,2547,2450,2070,1908,1868,1922,1543,1524,1210,1625,1494,1244,956,841,852,1025,906,767,620
9,1462,1559,1341,1348,1265,1184,854,1072,869,1370,1462,1086,862,585,586,562,498,491,380
10,1286,1094,1087,1044,1001,886,855,914,623,970,1071,766,517,468,464,563,589,502,473
11,1182,1168,1120,1025,1176,1271,1002,1086,764,990,1021,1002,679,578,588,777,709,647,632
12,1488,1526,1450,1394,1174,1304,1074,947,835,1060,1140,1175,860,632,670,621,714,546,487
14,1531,1454,1178,1080,1003,882,854,853,808,1048,1079,951,699,412,466,559,486,394,299
15,889,798,705,651,656,751,641,562,452,532,469,517,386,445,442,514,454,445,396
16,1121,821,858,671,734,632,610,559,506,611,546,647,509,394,344,469,449,391,375
17,1222,1059,951,871,959,690,678,750,711,835,839,849,643,407,467,460,501,420,300
18,619,498,476,571,439,455,469,482,357,401,403,270,264,222,208,374,439,399,344
19,991,799,722,870,776,698,598,617,583,639,755,826,678,370,414,416,440,438,341
20,427,352,325,357,332,279,261,315,246,265,290,312,207,155,190,181,166,169,123
22,888,946,657,749,916,719,741,711,509,567,591,534,320,336,333,352,360,355,298
24,758,662,510,715,517,490,374,423,373,461,451,342,231,257,244,290,318,298,257
25,2413,2014,1820,1662,1749,1469,1477,1445,1532,1632,1563,1454,984,788,776,882,1015,668,686
31,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0
