District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,863,1220,1281,972,838,765,825,793,791,647,616,463,478,401,472,544,452,527,523
2,1871,1680,1425,1322,1225,1180,1185,1185,1174,1020,951,828,774,706,703,745,803,876,933
3,1516,1788,1921,1807,1586,1525,1525,1524,1496,1471,1226,996,1163,1237,1138,1009,954,955,943
4,1622,2003,2145,1921,1895,1710,1648,1687,1618,1305,1269,1119,1174,1233,1279,1221,1211,1191,1244
5,1273,1509,1447,1448,1321,1213,1255,1101,1219,1006,909,785,846,740,839,945,1101,1226,1096
6,1661,1858,1852,1775,1725,1671,1591,1619,1516,1277,1227,987,935,922,1082,1148,1234,1164,1151
7,1234,1587,1542,1580,1561,1473,1333,1295,1215,1064,1042,851,944,859,1322,1055,1063,1205,1028
8,2171,2312,2209,2150,2077,2075,1894,2056,1843,1611,1498,1304,1211,1250,1340,1146,1189,1193,1097
9,1476,1482,1453,1346,1355,1211,1105,1221,1112,1092,989,835,839,768,816,820,840,722,754
10,1122,1168,1114,1346,1095,1235,1498,1356,1251,1048,913,814,767,702,772,930,875,742,758
11,1150,1282,1343,1209,1136,1042,1080,1207,1164,1040,923,933,1018,1079,1076,1045,1023,1017,959
12,1338,1464,1439,1132,1101,897,943,892,1048,828,765,743,657,620,647,639,681,657,709
14,1012,1234,1072,988,1049,904,893,862,865,694,636,540,537,450,431,417,399,429,442
15,1282,1219,1161,1163,1053,1029,1171,1154,1166,1024,835,735,772,753,818,836,736,723,636
16,1747,1716,1635,1412,1439,1851,1934,1825,1648,1363,1319,1055,1395,1193,843,755,711,626,620
17,1031,1266,1061,951,926,882,863,812,780,703,646,556,504,432,433,468,513,457,418
18,933,1029,831,810,692,691,704,663,568,474,503,427,413,392,347,394,375,454,393
19,1390,1538,1396,1183,1167,1120,1031,1005,868,688,700,591,566,533,436,501,531,555,444
20,750,776,640,729,663,630,584,554,469,415,409,352,363,311,308,278,236,279,243
22,1298,1336,1336,1367,1233,1199,1131,1039,1031,963,744,694,700,652,704,762,679,708,725
24,1181,1285,1144,1078,1122,998,877,917,901,779,737,673,618,518,497,477,493,479,509
25,1736,1846,1700,1843,1767,1799,1793,1765,1857,1500,1333,1200,1321,1233,1256,1163,1149,1050,1010
31,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0
