District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,767,1397,1785,2041,2303,2007,1676,1638,1097,736,616,684,797,697,596,530,471,456,554
2,1991,1496,1376,1070,986,868,891,748,692,582,455,377,418,377,265,268,273,261,257
3,702,734,910,1045,1381,1153,1119,1063,794,683,638,640,522,447,277,295,290,304,302
4,447,662,621,665,665,672,584,495,483,452,406,377,353,409,398,324,335,354,372
5,353,412,337,354,448,503,493,482,463,400,395,371,379,348,247,280,288,349,347
6,585,651,724,902,877,761,882,635,579,556,522,499,443,419,385,408,518,434,463
7,432,416,417,592,525,485,561,635,546,544,644,568,567,386,303,351,304,343,272
8,550,464,665,696,655,668,611,624,563,459,459,492,407,366,311,324,346,309,364
9,591,533,606,561,534,605,549,522,502,386,368,343,362,319,237,239,269,248,237
10,559,371,358,522,425,281,332,364,268,257,220,202,296,253,206,227,339,330,235
11,515,599,710,725,674,453,385,349,326,316,346,293,344,300,330,323,478,457,354
12,987,909,1014,1161,1140,668,634,532,493,404,398,398,353,339,268,244,273,327,400
14,330,331,333,379,377,360,338,333,318,317,240,308,223,207,182,261,226,199,235
15,288,271,331,402,406,399,386,392,385,317,330,254,268,381,253,214,170,218,229
16,451,559,531,562,578,456,404,356,331,334,376,310,319,369,402,360,339,327,288
17,254,339,299,307,380,316,308,261,240,267,198,169,123,128,120,134,165,148,173
18,1171,1194,1073,1397,1627,1464,1090,925,894,742,580,523,635,480,406,323,406,428,451
19,820,1000,1047,857,1007,691,723,495,478,439,405,431,422,422,398,375,354,445,362
20,331,318,312,296,363,330,275,181,190,154,172,140,143,121,135,128,161,162,152
22,306,385,346,371,357,335,414,364,405,389,276,251,204,252,210,219,224,310,260
24,337,364,411,402,405,506,488,461,425,315,261,276,314,238,196,218,322,252,255
25,473,475,601,606,541,524,555,454,378,351,354,310,244,281,276,261,264,246,251
31,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
