District,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,13,20,13,22,16,37,19,18,11,14,15,21,15,21,14,17,14,20,25
2,31,16,16,30,41,28,30,42,16,17,23,22,40,28,21,26,42,38,58
3,24,13,14,26,18,41,71,43,43,61,51,64,61,97,72,58,65,75,84
4,16,16,9,14,24,27,16,17,29,16,35,56,69,82,119,71,74,119,201
5,27,18,26,24,28,29,31,29,39,62,72,82,58,81,73,64,108,135,126
6,25,17,22,21,27,45,51,41,39,54,69,103,95,83,91,68,78,124,165
7,26,25,37,59,64,58,41,34,32,54,80,110,134,130,146,103,111,117,133
8,7,13,22,23,36,36,34,53,30,45,65,75,67,85,76,42,44,48,52
9,21,21,13,22,12,36,36,25,35,55,98,70,55,75,64,51,68,61,76
10,16,11,19,26,30,19,23,30,26,39,32,37,45,56,38,39,72,98,82
11,17,18,33,51,36,49,62,40,47,64,99,106,178,223,188,129,156,176,181
12,19,16,17,22,28,22,29,23,22,20,23,33,31,26,16,21,16,26,53
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,12,19,25,13,15,28,14,23,12,23,23,39,24,18,14,14,8,21,33
15,20,18,15,31,25,29,32,38,44,69,82,86,87,115,99,66,66,65,60
16,10,17,8,16,14,21,12,7,4,16,20,29,26,18,20,13,17,13,18
17,14,14,14,16,20,29,10,14,9,27,19,18,21,17,12,13,5,5,6
18,28,24,19,30,31,37,37,25,31,30,29,23,29,28,22,19,19,25,44
19,31,20,18,26,21,24,18,15,17,21,20,17,23,18,26,18,11,22,21
20,11,6,8,1,5,5,8,2,3,15,11,14,17,15,9,8,11,10,3
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7,14,19,10,18,17,22,9,16,19,39,50,44,38,42,30,34,35,50
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,17,10,18,13,24,23,16,21,22,34,36,51,44,36,24,14,20,22,18
25,14,15,23,35,82,118,65,31,46,42,107,122,118,109,122,52,48,51,57
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
